data_pedido,modo_envio,nome_cliente,segmento_cliente,cidade,estado,regiao,departamento,tipo_produto,vendas,quantidade,lucro
2018-11-09,Econômica,Thiago Silveira,B2C,Ribeirão Preto,São Paulo,Sudeste,Materiais de construção,encanamentos,890.66,2,142.51
2018-11-09,Econômica,Thiago Silveira,B2C,Ribeirão Preto,São Paulo,Sudeste,Materiais de construção,ferramentas,2488.6,3,746.58
2018-06-13,Econômica,Giovanna Lima,B2B,Rio de Janeiro,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,sementes,49.71,2,23.36
2017-10-12,Entrega padrão,Ana Júlia da Cruz,B2C,Foz do Iguaçu,Paraná,Sul,Materiais de construção,materiais de revestimento,3255.76,5,-1302.31
2017-10-12,Entrega padrão,Ana Júlia da Cruz,B2C,Foz do Iguaçu,Paraná,Sul,Jardinagem e paisagismo,vasos,76.05,2,8.56
2016-06-10,Entrega padrão,Sophia Dias,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Materiais de construção,iluminação,166.12,7,48.18
2016-06-10,Entrega padrão,Sophia Dias,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,decoração de jardim,24.75,4,6.68
2016-06-10,Entrega padrão,Sophia Dias,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Automotivo,pneus,3084.32,6,308.43
2016-06-10,Entrega padrão,Sophia Dias,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,ferramentas de jardinagem,62.91,3,19.66
2016-06-10,Entrega padrão,Sophia Dias,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,mobiliário de exterior,390.66,5,117.2
2016-06-10,Entrega padrão,Sophia Dias,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Materiais de construção,materiais de revestimento,5801.03,9,290.05
2016-06-10,Entrega padrão,Sophia Dias,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Automotivo,pneus,3098.84,4,232.41
2019-04-16,Entrega padrão,Marina Carvalho,B2C,São João de Meriti,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,pesticidas,52.88,3,18.51
2018-12-06,Entrega padrão,Alana Ramos,B2C,Fortaleza,Ceará,Nordeste,Jardinagem e paisagismo,ferramentas de jardinagem,1387.12,3,450.81
2017-11-23,Entrega padrão,Nicolas Rezende,B2B,Rio Branco,Acre,Norte,Jardinagem e paisagismo,mobiliário de exterior,233.95,5,-421.12
2017-11-23,Entrega padrão,Nicolas Rezende,B2B,Rio Branco,Acre,Norte,Jardinagem e paisagismo,ferramentas de jardinagem,8.65,3,-12.97
2016-11-12,Entrega padrão,Gabriel da Paz,B2C,Itapecerica da Serra,São Paulo,Sudeste,Jardinagem e paisagismo,vasos,2263.99,6,45.28
2016-08-28,Econômica,Amanda Nascimento,B2C,Salvador,Bahia,Nordeste,Jardinagem e paisagismo,decoração de jardim,29.1,2,8.44
2016-08-28,Econômica,Amanda Nascimento,B2C,Salvador,Bahia,Nordeste,Automotivo,pneus,725.83,3,54.44
2016-08-28,Econômica,Amanda Nascimento,B2C,Salvador,Bahia,Nordeste,Jardinagem e paisagismo,ferramentas de jardinagem,77.25,4,25.11
2018-12-10,Entrega padrão,Alice Ribeiro,B2B,Porto Seguro,Bahia,Nordeste,Jardinagem e paisagismo,decoração de jardim,66.16,7,17.2
2018-12-10,Entrega padrão,Alice Ribeiro,B2B,Porto Seguro,Bahia,Nordeste,Jardinagem e paisagismo,mobiliário de exterior,205.16,7,53.34
2019-07-17,Econômica,Bianca Campos,B2C,Brasília,Distrito Federal,Centro-Oeste,Materiais de construção,ferramentas,242.66,2,-3.47
2017-09-26,Entrega padrão,Nicole Gomes,B2C,Teixeira de Freitas,Bahia,Nordeste,Materiais de construção,materiais de revestimento,3551.74,3,816.9
2018-01-17,Econômica,Melissa da Rosa,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,ferramentas de jardinagem,39.6,2,14.36
2018-01-17,Econômica,Melissa da Rosa,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Automotivo,ferramentas automotivas,307.94,3,40.03
2017-09-18,Entrega padrão,Felipe Rodrigues,B2C,Brasília,Distrito Federal,Centro-Oeste,Materiais de construção,encanamentos,10483.66,7,-5661.18
2017-09-18,Entrega padrão,Felipe Rodrigues,B2C,Brasília,Distrito Federal,Centro-Oeste,Jardinagem e paisagismo,ferramentas de jardinagem,32.7,2,-23.98
2017-09-18,Entrega padrão,Felipe Rodrigues,B2C,Brasília,Distrito Federal,Centro-Oeste,Materiais de construção,iluminação,422.28,3,52.78
2017-09-18,Entrega padrão,Felipe Rodrigues,B2C,Brasília,Distrito Federal,Centro-Oeste,Jardinagem e paisagismo,fertilizantes,11.1,2,3.75
2017-09-18,Entrega padrão,Felipe Rodrigues,B2C,Brasília,Distrito Federal,Centro-Oeste,Jardinagem e paisagismo,decoração de jardim,293.43,6,33.01
2017-09-18,Entrega padrão,Felipe Rodrigues,B2C,Brasília,Distrito Federal,Centro-Oeste,Jardinagem e paisagismo,ferramentas de jardinagem,23.32,6,-19.43
2017-09-18,Entrega padrão,Felipe Rodrigues,B2C,Brasília,Distrito Federal,Centro-Oeste,Jardinagem e paisagismo,decoração de jardim,53.58,2,12.06
2019-10-20,Econômica,Benjamin Moura,B2B,Belo Horizonte,Minas Gerais,Sudeste,Jardinagem e paisagismo,pesticidas,100.2,3,33.82
2017-12-28,Entrega padrão,Luiz Henrique Rezende,B2B,Belo Horizonte,Minas Gerais,Sudeste,Jardinagem e paisagismo,fertilizantes,385.32,9,120.41
2017-12-28,Entrega padrão,Luiz Henrique Rezende,B2B,Belo Horizonte,Minas Gerais,Sudeste,Materiais de construção,encanamentos,1810.16,3,-159.72
2017-12-28,Entrega padrão,Luiz Henrique Rezende,B2B,Belo Horizonte,Minas Gerais,Sudeste,Materiais de construção,ferramentas,721.0,3,-51.5
2017-12-28,Entrega padrão,Luiz Henrique Rezende,B2B,Belo Horizonte,Minas Gerais,Sudeste,Automotivo,pneus,1261.97,4,141.97
2019-09-11,Entrega padrão,Maria Eduarda Rodrigues,B2B,Botucatu,São Paulo,Sudeste,Automotivo,pneus,500.37,4,56.29
2018-07-18,Entrega padrão,Heitor Silveira,B2B,Rio de Janeiro,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,vasos,264.79,2,13.24
2018-03-12,Envio rápido,Kaique Aragão,B2B,Balneário Camboriú,Santa Catarina,Sul,Automotivo,ferramentas automotivas,156.33,2,67.22
2018-03-12,Envio rápido,Kaique Aragão,B2B,Balneário Camboriú,Santa Catarina,Sul,Jardinagem e paisagismo,ferramentas de jardinagem,59.36,2,27.9
2016-10-21,Econômica,Lara Pinto,B2C,Itapevi,São Paulo,Sudeste,Jardinagem e paisagismo,vasos,720.66,4,28.83
2018-06-21,Entrega padrão,Alexandre Vieira,B2C,São José dos Pinhais,Paraná,Sul,Automotivo,ferramentas automotivas,153.0,3,16.83
2018-06-21,Entrega padrão,Alexandre Vieira,B2C,São José dos Pinhais,Paraná,Sul,Automotivo,pneus,74.12,2,20.75
2018-12-12,Entrega padrão,Diego Nascimento,B2B,São Paulo,São Paulo,Sudeste,Jardinagem e paisagismo,mudas,51.88,7,21.27
2018-12-12,Entrega padrão,Diego Nascimento,B2B,São Paulo,São Paulo,Sudeste,Automotivo,pneus,3501.83,5,1015.53
2018-06-18,Envio rápido,João Pedro Silveira,B2C,Maringá,Paraná,Sul,Jardinagem e paisagismo,vasos,709.1,6,177.28
2018-06-18,Envio rápido,João Pedro Silveira,B2C,Maringá,Paraná,Sul,Jardinagem e paisagismo,pesticidas,110.16,5,52.88
2018-06-18,Envio rápido,João Pedro Silveira,B2C,Maringá,Paraná,Sul,Materiais de construção,ferramentas,1085.99,5,24.13
